date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
8/18/2018,10257,1278,2258,1037,1161,441,93,75,12,9,148,39,56,2,0.006080047,1.1534,4556,3950,316.790000,320.450000,286.550000,295.810000,1764020000,32119577919
8/19/2018,9428,1114,2109,985,1112,444,77,56,13,8,142,23,51,9,0.006217849,1.1606,4423,3811,295.670000,307.100000,291.330000,300.830000,1447910000,29984192045
8/20/2018,12133,1740,2761,1326,1316,490,106,74,25,16,144,22,78,19,0.011518845,1.1986,5668,4729,301.380000,304.370000,273.510000,274.320000,1413790000,30569460458
8/21/2018,13273,1750,2848,1310,1524,558,104,81,21,11,158,35,89,16,0.012018443,1.2410,5891,4747,273.330000,285.970000,273.330000,281.940000,1164120000,27729942831
8/22/2018,16519,1846,3458,1511,2005,709,127,90,28,16,207,48,84,18,0.013002991,1.2350,6695,5421,281.970000,297.490000,265.000000,271.340000,1507660000,28611999411
8/23/2018,14664,1667,3202,1483,1738,656,118,84,17,7,163,36,146,37,0.013699621,1.2792,6565,5132,271.750000,279.550000,271.090000,277.100000,1271160000,27580425754
8/24/2018,13013,1518,2872,1307,1424,544,123,102,24,13,157,46,79,15,0.016961812,1.2951,5921,4572,278.110000,283.300000,273.860000,282.970000,1450170000,28231866915
8/25/2018,10688,1152,2427,1120,1175,460,86,67,15,7,131,33,62,9,0.020022774,1.2822,5071,3955,283.280000,283.520000,278.470000,279.650000,1208360000,28762556561
8/26/2018,12740,1192,2675,1243,1635,667,96,68,26,16,149,39,77,17,0.030355086,1.3927,5798,4163,279.530000,279.530000,272.440000,275.200000,1206650000,28386921151
8/27/2018,14443,1692,3177,1486,1729,653,122,99,20,12,180,43,90,11,0.016294550,1.3512,6683,4946,275.350000,285.600000,273.650000,285.600000,1406790000,27968567433
8/28/2018,16598,1770,3708,1713,1577,578,119,86,22,16,226,50,96,11,0.014429802,1.3149,7386,5617,286.650000,297.400000,283.570000,296.500000,1513350000,29122157621
8/29/2018,15090,1831,3252,1462,1729,647,119,87,24,12,215,39,74,13,0.012506369,1.3697,7199,5256,296.160000,297.070000,287.290000,289.310000,1474460000,30094775053
8/30/2018,13551,1841,2944,1402,1631,630,120,85,31,19,207,43,92,11,0.014700360,1.2591,5875,4666,289.750000,291.240000,275.210000,284.110000,1513100000,29449252259
8/31/2018,14111,1746,3015,1360,1664,635,114,88,38,23,182,44,73,9,0.020021799,1.3029,6121,4698,284.120000,284.550000,278.510000,283.000000,1411910000,28882613519
9/1/2018,13556,1366,2895,1242,1561,568,87,56,35,21,135,37,61,14,0.017667512,1.3840,6268,4529,283.500000,301.140000,283.500000,295.340000,1546630000,28824991126
9/2/2018,12524,1284,2706,1239,1469,578,77,58,21,7,170,41,73,18,0.020119239,1.3794,5515,3998,295.450000,298.690000,290.930000,294.370000,1321050000,30046692957
9/3/2018,12721,1510,2800,1295,1382,555,97,76,15,7,156,36,79,14,0.015266516,1.3085,5929,4531,295.180000,295.590000,287.430000,289.260000,1394490000,30025069120
9/4/2018,13758,1806,3141,1420,1529,591,100,87,19,12,203,43,78,18,0.010767448,1.2362,6072,4912,289.300000,291.580000,284.260000,285.720000,1554870000,29432488855
9/5/2018,17235,1919,3670,1630,2015,709,97,65,20,13,186,41,92,10,0.009691278,1.1778,6863,5827,286.050000,288.160000,232.330000,232.330000,2390390000,29107551074
